iter	Passed	Remaining
0	94	47345
1	159	39667
2	245	40741
3	311	38570
4	372	36836
5	433	35729
6	492	34662
7	545	33523
8	603	32919
9	663	32525
10	723	32163
11	783	31877
12	840	31497
13	914	31728
14	973	31465
15	1034	31282
16	1103	31340
17	1166	31228
18	1236	31306
19	1324	31781
20	1400	31934
21	1454	31606
22	1508	31285
23	1563	31001
24	1615	30694
25	1672	30484
26	1730	30307
27	1785	30105
28	1833	29784
29	1893	29663
30	1953	29559
31	2013	29446
32	2072	29325
33	2127	29159
34	2189	29090
35	2255	29076
36	2316	28993
37	2384	28985
38	2440	28848
39	2498	28735
40	2555	28606
41	2611	28480
42	2669	28370
43	2722	28213
44	2776	28078
45	2834	27979
46	2890	27858
47	2948	27761
48	3003	27643
49	3058	27525
50	3117	27445
51	3123	26911
52	3184	26854
53	3245	26807
54	3303	26727
55	3364	26674
56	3421	26593
57	3480	26526
58	3548	26525
59	3621	26554
60	3674	26441
61	3729	26346
62	3788	26276
63	3846	26206
64	3900	26102
65	3952	25992
66	4012	25929
67	4066	25831
68	4119	25729
69	4174	25644
70	4228	25547
71	4283	25464
72	4338	25375
73	4397	25315
74	4451	25222
75	4508	25151
76	4563	25071
77	4618	24989
78	4676	24920
79	4733	24848
80	4786	24758
81	4838	24664
82	4891	24577
83	4948	24506
84	5001	24420
85	5087	24489
86	5147	24436
87	5205	24369
88	5259	24286
89	5311	24194
90	5364	24109
91	5419	24033
92	5474	23956
93	5529	23884
94	5584	23807
95	5642	23745
96	5696	23667
97	5752	23597
98	5813	23548
99	5897	23588
100	5954	23524
101	6007	23441
102	6065	23376
103	6121	23308
104	6176	23235
105	6231	23160
106	6286	23091
107	6343	23022
108	6400	22959
109	6455	22887
110	6524	22866
111	6589	22827
112	6643	22751
113	6699	22684
114	6754	22611
115	6811	22548
116	6867	22480
117	6920	22403
118	6975	22334
119	7033	22273
120	7089	22206
121	7144	22136
122	7201	22073
123	7257	22006
124	7315	21946
125	7406	21983
126	7465	21925
127	7521	21860
128	7577	21792
129	7634	21729
130	7690	21662
131	7743	21588
132	7799	21522
133	7854	21451
134	7909	21384
135	7964	21316
136	8017	21244
137	8073	21177
138	8132	21120
139	8185	21048
140	8243	20988
141	8298	20921
142	8354	20855
143	8410	20791
144	8466	20727
145	8522	20663
146	8579	20602
147	8633	20533
148	8688	20467
149	8745	20405
150	8802	20344
151	8859	20283
152	8914	20216
153	8966	20145
154	9025	20089
155	9079	20022
156	9133	19955
157	9191	19895
158	9248	19834
159	9301	19766
160	9356	19700
161	9413	19639
162	9473	19585
163	9526	19517
164	9581	19452
165	9636	19389
166	9695	19332
167	9748	19265
168	9804	19203
169	9859	19139
170	9919	19085
171	9974	19021
172	10028	18955
173	10087	18899
174	10144	18840
175	10200	18777
176	10255	18715
177	10310	18652
178	10369	18594
179	10423	18530
180	10477	18466
181	10533	18404
182	10589	18344
183	10643	18279
184	10702	18223
185	10756	18158
186	10822	18114
187	10886	18067
188	10938	17999
189	10996	17941
190	11054	17883
191	11108	17820
192	11164	17759
193	11222	17701
194	11282	17646
195	11334	17580
196	11391	17521
197	11448	17462
198	11505	17402
199	11561	17341
200	11624	17292
201	11722	17293
202	11782	17238
203	11854	17201
204	11910	17139
205	11965	17076
206	12021	17016
207	12079	16957
208	12133	16893
209	12189	16833
210	12247	16774
211	12300	16710
212	12355	16647
213	12409	16584
214	12460	16517
215	12512	16451
216	12564	16386
217	12615	16319
218	12665	16251
219	12720	16190
220	12774	16127
221	12826	16061
222	12880	15999
223	12936	15939
224	12985	15871
225	13039	15808
226	13093	15747
227	13151	15689
228	13206	15628
229	13260	15566
230	13313	15503
231	13375	15451
232	13430	15390
233	13487	15332
234	13545	15275
235	13597	15210
236	13651	15148
237	13698	15079
238	13751	15017
239	13802	14952
240	13857	14892
241	13908	14828
242	13961	14765
243	14014	14703
244	14068	14642
245	14120	14579
246	14173	14517
247	14227	14456
248	14283	14398
249	14340	14340
250	14393	14278
251	14453	14223
252	14507	14163
253	14565	14106
254	14620	14047
255	14672	13985
256	14728	13925
257	14783	13866
258	14840	13809
259	14896	13750
260	14951	13690
261	15007	13632
262	15066	13577
263	15119	13515
264	15174	13456
265	15229	13397
266	15286	13340
267	15342	13281
268	15398	13223
269	15453	13163
270	15510	13106
271	15567	13049
272	15621	12989
273	15678	12932
274	15735	12874
275	15791	12816
276	15847	12758
277	15903	12699
278	15962	12643
279	16016	12584
280	16071	12525
281	16127	12467
282	16184	12409
283	16237	12349
284	16293	12291
285	16348	12233
286	16409	12178
287	16464	12119
288	16522	12062
289	16578	12004
290	16634	11947
291	16691	11889
292	16744	11830
293	16801	11772
294	16856	11714
295	16911	11655
296	16966	11596
297	17021	11538
298	17080	11481
299	17134	11422
300	17189	11364
301	17242	11304
302	17301	11248
303	17357	11191
304	17413	11133
305	17470	11075
306	17527	11019
307	17581	10959
308	17636	10901
309	17692	10843
310	17751	10787
311	17804	10728
312	17859	10669
313	17914	10611
314	17972	10555
315	18027	10497
316	18084	10439
317	18139	10381
318	18199	10326
319	18253	10267
320	18308	10209
321	18365	10152
322	18422	10095
323	18476	10036
324	18534	9979
325	18588	9921
326	18647	9865
327	18701	9806
328	18756	9748
329	18812	9691
330	18870	9634
331	18924	9576
332	18981	9519
333	19038	9462
334	19095	9405
335	19151	9347
336	19206	9289
337	19265	9233
338	19321	9176
339	19377	9118
340	19432	9060
341	19488	9003
342	19547	8947
343	19601	8888
344	19655	8830
345	19708	8772
346	19766	8715
347	19821	8657
348	19875	8599
349	19931	8542
350	19985	8483
351	20043	8427
352	20095	8368
353	20152	8311
354	20211	8255
355	20267	8197
356	20321	8139
357	20377	8082
358	20435	8026
359	20492	7969
360	20546	7911
361	20602	7853
362	20672	7801
363	20726	7743
364	20782	7686
365	20838	7629
366	20897	7573
367	20951	7515
368	21006	7457
369	21059	7399
370	21117	7342
371	21172	7285
372	21229	7228
373	21295	7174
374	21366	7122
375	21422	7064
376	21477	7007
377	21534	6950
