,Value,Interest Rate
2019-01-01,2678.6666666666665,2.4
2019-03-01,-4034.5,2.41
2019-05-01,2009.0,2.39
2019-06-01,6027.0,2.38
2019-07-01,8036.0,2.4
2019-09-01,8036.0,2.04
2019-10-01,-12098.0,1.83
2019-10-01,6027.0,1.83
2019-12-01,6027.0,1.55
2020-01-01,4018.0,1.55
2020-03-01,4018.0,0.65
2020-03-01,8036.0,0.65
2020-03-01,-6027.0,0.65
2020-03-01,-4040.0,0.65
2020-03-01,0.0,0.65
2020-04-01,-6038.0,0.05
2020-06-01,-11.0,0.08
2020-07-01,1998.0,0.09
2020-08-01,-4040.0,0.1
2020-09-01,8025.0,0.09
2020-11-01,0.0,0.09
2020-12-01,4018.0,0.09
2021-01-01,1004.5,0.09
2021-03-01,6027.0,0.07
2021-04-01,14063.0,0.07
2021-06-01,16072.0,0.08
2021-07-01,20090.0,0.1
2021-09-01,18081.0,0.08
2021-11-01,12054.0,0.08
2021-12-01,10045.0,0.08
2022-01-01,2678.6666666666665,0.08
2022-03-01,4018.0,0.2
2022-05-01,-5022.5,0.77
2022-06-01,-4018.0,1.21
2022-07-01,0.0,1.68
2022-09-01,0.0,2.56
2022-11-01,-4018.0,3.78
2022-12-01,-4018.0,4.1
2023-02-01,-2009.0,4.57
2023-03-01,-2009.0,4.65
2023-05-01,-4018.0,5.06
2023-06-01,-4018.0,5.08
2023-07-01,-4018.0,5.12
2023-09-01,-4018.0,5.33
2023-11-01,0.0,5.33
2023-12-01,-2009.0,5.33
2024-01-01,2003.5,5.33
