,Value,Interest Rate,Treasury Rate,Inflation Rate,Interest Rate Lower Bound,Interest Rate Upper Bound,Inflation Rate Lower Bound,Inflation Rate Upper Bound
2013-02-01,26.69157325129867,0.15,1.9842105263157896,0.5429926752100966,-0.1,0.4,0.29299267521009664,0.7929926752100966
2013-03-01,25.15598019120566,0.14,1.9575,-0.28119191025899326,-0.10999999999999999,0.39,-0.5311919102589933,-0.03119191025899326
2013-04-01,33.67884719733401,0.15,1.7590909090909093,-0.2087979266581219,-0.1,0.4,-0.4587979266581219,0.04120207334187809
2013-05-01,34.28340876435022,0.11,1.9281818181818182,0.041415548950163306,-0.14,0.36,-0.2085844510498367,0.2914155489501633
2013-06-01,20.961247494234158,0.09,2.3,0.23804082055085551,-0.16,0.33999999999999997,-0.011959179449144486,0.4880408205508555
2013-07-01,57.004669946539046,0.09,2.5822727272727275,0.19574523005443378,-0.16,0.33999999999999997,-0.05425476994556622,0.4457452300544338
2013-09-01,17.35443797534658,0.08,2.8095,0.037694469193350066,-0.16999999999999998,0.33,-0.21230553080664993,0.28769446919335007
2013-10-01,23.19641439888501,0.09,2.6159090909090907,0.053523104853914205,-0.16,0.33999999999999997,-0.1964768951460858,0.3035231048539142
2013-11-01,24.7593854303124,0.08,2.718421052631579,0.18444894273523804,-0.16999999999999998,0.33,-0.06555105726476196,0.43444894273523804
2013-12-01,10.88388541464824,0.09,2.901904761904762,0.2644169158479315,-0.16,0.33999999999999997,0.014416915847931477,0.5144169158479315
2014-01-01,62.62541043423882,0.07,2.858095238095238,0.24241752904536895,-0.18,0.32,-0.007582470954631049,0.49241752904536895
2014-02-01,38.18413857939212,0.07,2.709473684210526,0.11007786202441583,-0.18,0.32,-0.13992213797558417,0.36007786202441583
2014-03-01,25.64634586962467,0.08,2.723333333333333,0.204205530106516,-0.16999999999999998,0.33,-0.04579446989348401,0.454205530106516
2014-04-01,29.94066213447692,0.09,2.705238095238095,0.18641856050976013,-0.16,0.33999999999999997,-0.06358143949023987,0.43641856050976013
2014-05-01,24.062210482069393,0.09,2.559047619047619,0.19030059035471947,-0.16,0.33999999999999997,-0.05969940964528053,0.44030059035471947
