,Unnamed: 0,Value,Interest Rate,Interest Rate Change,Interest Rate Binary
1,2013-02-01,-74360.0,0.15,0.009999999999999981,1
2,2013-02-01,-126555.0,0.15,0.0,0
3,2013-02-01,-345743.0,0.15,0.0,0
4,2013-02-01,-128642.0,0.15,0.0,0
5,2013-02-01,-188939.0,0.15,0.0,0
6,2013-02-01,-120538.0,0.15,0.0,0
7,2013-03-01,-150752.0,0.14,-0.009999999999999981,-1
8,2013-03-01,-188898.0,0.14,0.0,0
9,2013-03-01,-238972.0,0.14,0.0,0
10,2013-03-01,-130571.0,0.14,0.0,0
11,2013-03-01,-114491.0,0.14,0.0,0
12,2013-03-01,-110610.0,0.14,0.0,0
13,2013-04-01,-24156.0,0.15,0.009999999999999981,1
14,2013-04-01,-233085.0,0.15,0.0,0
15,2013-04-01,12002.0,0.15,0.0,0
16,2013-04-01,-16127.0,0.15,0.0,0
17,2013-04-01,-80390.0,0.15,0.0,0
18,2013-04-01,-281378.0,0.15,0.0,0
19,2013-04-01,-176863.0,0.15,0.0,0
20,2013-05-01,-283445.0,0.11,-0.039999999999999994,-1
21,2013-05-01,-64310.0,0.11,0.0,0
22,2013-05-01,-214993.0,0.11,0.0,0
23,2013-05-01,-80357.0,0.11,0.0,0
24,2013-05-01,54211.0,0.11,0.0,0
25,2013-06-01,-6032.0,0.09,-0.020000000000000004,-1
26,2013-06-01,-86483.0,0.09,0.0,0
27,2013-06-01,-118597.0,0.09,0.0,0
28,2013-06-01,-40229.0,0.09,0.0,0
29,2013-07-01,-34164.0,0.09,0.0,0
30,2013-07-01,-40529.0,0.09,0.0,0
31,2013-07-01,-188920.0,0.09,0.0,0
32,2013-09-01,-315561.0,0.08,-0.009999999999999995,-1
33,2013-09-01,-50236.0,0.08,0.0,0
34,2013-10-01,-10053.0,0.09,0.009999999999999995,1
35,2013-10-01,-98573.0,0.09,0.0,0
36,2013-10-01,-102475.0,0.09,0.0,0
37,2013-10-01,-8036.0,0.09,0.0,0
38,2013-10-01,10001.0,0.09,0.0,0
39,2013-10-01,-193869.0,0.09,0.0,0
40,2013-11-01,-134658.0,0.08,-0.009999999999999995,-1
41,2013-11-01,-104473.0,0.08,0.0,0
42,2013-11-01,-194870.0,0.08,0.0,0
43,2013-11-01,12041.0,0.08,0.0,0
44,2013-11-01,16067.0,0.08,0.0,0
45,2013-11-01,-64411.0,0.08,0.0,0
46,2013-11-01,-38256.0,0.08,0.0,0
47,2013-11-01,-142639.0,0.08,0.0,0
48,2013-12-01,-14078.0,0.09,0.009999999999999995,1
49,2014-01-01,-145711.5,0.07,-0.01999999999999999,-1
50,2014-02-01,-138775.0,0.07,0.0,0
51,2014-02-01,-58228.0,0.07,0.0,0
52,2014-03-01,10029.0,0.08,0.009999999999999995,1
53,2014-03-01,-221075.0,0.08,0.0,0
54,2014-03-01,18070.0,0.08,0.0,0
55,2014-03-01,15987.0,0.08,0.0,0
56,2014-03-01,-160794.0,0.08,0.0,0
57,2014-03-01,-176910.0,0.08,0.0,0
58,2014-04-01,-68440.0,0.09,0.009999999999999995,1
59,2014-04-01,-6057.0,0.09,0.0,0
60,2014-04-01,-162701.0,0.09,0.0,0
61,2014-05-01,-36217.0,0.09,0.0,0
62,2014-05-01,-56232.0,0.09,0.0,0
63,2014-05-01,-138659.0,0.09,0.0,0
64,2014-05-01,14063.0,0.09,0.0,0
65,2014-05-01,-40188.0,0.09,0.0,0
66,2014-06-01,-16094.0,0.1,0.010000000000000009,1
67,2014-06-01,-172889.0,0.1,0.0,0
68,2014-06-01,-219069.0,0.1,0.0,0
69,2014-07-01,-114532.0,0.09,-0.010000000000000009,-1
70,2014-07-01,-186999.0,0.09,0.0,0
71,2014-08-01,-269388.0,0.09,0.0,0
72,2014-08-01,-295323.0,0.09,0.0,0
73,2014-09-01,-64285.0,0.09,0.0,0
74,2014-09-01,-32155.0,0.09,0.0,0
75,2014-09-01,4007.0,0.09,0.0,0
76,2014-09-01,-10045.0,0.09,0.0,0
77,2014-10-01,-100548.0,0.09,0.0,0
