File,Value
fomcminutes20190130.htm.txt,-186958
fomcminutes20190320.htm.txt,-168877
fomcminutes20190501.htm.txt,-110558
fomcminutes20190619.htm.txt,-158766
fomcminutes20190731.htm.txt,-124577
fomcminutes20190918.htm.txt,-275322
fomcminutes20191030.htm.txt,-307610
fomcminutes20191211.htm.txt,-152728
fomcminutes20200129.htm.txt,-76441
fomcminutes20200315.htm.txt,-363519
fomcminutes20200429.htm.txt,-411911
fomcminutes20200610.htm.txt,-207105
fomcminutes20200729.htm.txt,-138735
fomcminutes20200916.htm.txt,-12188
fomcminutes20201105.htm.txt,-146734
fomcminutes20201216.htm.txt,-68407
fomcminutes20210127.htm.txt,-80536
fomcminutes20210317.htm.txt,-10144
fomcminutes20210428.htm.txt,-60358
fomcminutes20210616.htm.txt,-20255
fomcminutes20210728.htm.txt,-58329
fomcminutes20210922.htm.txt,-120529
fomcminutes20211103.htm.txt,-74349
fomcminutes20211215.htm.txt,-34120
fomcminutes20220126.htm.txt,-90559
fomcminutes20220316.htm.txt,-136634
fomcminutes20220504.htm.txt,-146712
fomcminutes20220615.htm.txt,-208991
fomcminutes20220727.htm.txt,-214996
fomcminutes20220921.htm.txt,-204973
fomcminutes20221102.htm.txt,-255220
fomcminutes20221214.htm.txt,-227050
fomcminutes20230201.htm.txt,-209013
fomcminutes20230322.htm.txt,-164764
fomcminutes20230503.htm.txt,-293380
fomcminutes20230614.htm.txt,-134614
fomcminutes20230726.htm.txt,-148710
fomcminutes20230920.htm.txt,-104481
fomcminutes20231101.htm.txt,-98454
fomcminutes20231213.htm.txt,-104479
fomcminutes20240131.htm.txt,-30179
monetary20190130a.htm.txt,8036
monetary20190130b.htm.txt,-2009
monetary20190130c.htm.txt,2009
monetary20190320a.htm.txt,0
monetary20190320c.htm.txt,-8069
monetary20190501a.htm.txt,2009
monetary20190619a.htm.txt,6027
monetary20190731a.htm.txt,8036
monetary20190918a.htm.txt,8036
monetary20191011a.htm.txt,-12098
monetary20191030a.htm.txt,6027
monetary20191211a.htm.txt,6027
monetary20200129a.htm.txt,4018
monetary20200303a.htm.txt,4018
monetary20200315a.htm.txt,8036
monetary20200319b.htm.txt,-6027
monetary20200323a.htm.txt,-4040
monetary20200331a.htm.txt,0
monetary20200429a.htm.txt,-6038
monetary20200610a.htm.txt,-11
monetary20200729a.htm.txt,1998
monetary20200827a.htm.txt,-4040
monetary20200916a.htm.txt,8025
monetary20201105a.htm.txt,0
monetary20201216a.htm.txt,4018
monetary20210127a.htm.txt,2009
monetary20210127b.htm.txt,0
monetary20210317a.htm.txt,6027
monetary20210428a.htm.txt,14063
monetary20210616a.htm.txt,16072
monetary20210728a.htm.txt,20090
monetary20210922a.htm.txt,18081
monetary20211103a.htm.txt,12054
monetary20211215a.htm.txt,10045
monetary20220126a.htm.txt,6027
monetary20220126b.htm.txt,-2009
monetary20220126c.htm.txt,4018
monetary20220316a.htm.txt,4018
monetary20220504a.htm.txt,-2009
monetary20220504b.htm.txt,-8036
monetary20220615a.htm.txt,-4018
monetary20220727a.htm.txt,0
monetary20220921a.htm.txt,0
monetary20221102a.htm.txt,-4018
monetary20221214a.htm.txt,-4018
monetary20230201a.htm.txt,-2009
monetary20230201b.htm.txt,-2009
monetary20230322a.htm.txt,-2009
monetary20230503a.htm.txt,-4018
monetary20230614a.htm.txt,-4018
monetary20230726a.htm.txt,-4018
monetary20230920a.htm.txt,-4018
monetary20231101a.htm.txt,0
monetary20231213a.htm.txt,-2009
monetary20240131a.htm.txt,6016
monetary20240131b.htm.txt,-2009
