Positive,Negative
212,105
155,67
254,286
271,126
228,122
64,6
272,276
146,79
139,16
176,179
110,132
148,235
70,6
164,61
103,8
245,159
45,7
248,110
184,77
166,122
45,4
252,42
161,19
169,135
320,152
95,41
213,45
249,159
185,40
146,107
196,82
204,68
34,7
150,114
256,106
189,91
140,66
182,119
5,0
289,92
301,152
228,153
216,89
286,152
287,122
262,191
51,4
240,131
256,178
231,145
104,14
105,79
259,107
285,92
262,195
231,160
315,82
88,29
219,195
127,81
160,41
211,64
129,62
173,155
195,159
198,130
66,4
246,129
144,159
212,184
244,158
159,107
170,105
178,87
40,11
280,110
256,144
260,171
55,7
161,111
49,21
181,100
199,99
220,150
204,171
93,38
262,200
193,95
55,11
307,192
212,140
185,113
210,179
237,105
268,122
228,147
172,80
20,11
170,72
40,8
271,265
42,8
187,159
199,208
321,172
214,164
219,143
316,204
65,21
205,138
110,89
45,9
26,4
66,63
233,123
293,63
263,98
123,66
59,27
87,7
217,117
107,39
179,131
281,173
352,323
49,13
219,177
212,180
34,0
114,58
335,185
69,45
134,81
164,149
151,90
137,101
170,93
190,131
113,130
237,120
39,6
262,58
182,150
110,97
213,169
145,160
16,19
378,96
222,121
87,18
110,77
259,87
74,38
36,14
227,294
227,129
243,281
166,110
64,15
119,36
75,10
279,224
209,116
106,73
210,164
217,255
222,185
130,87
221,215
287,75
245,197
171,51
112,33
369,140
62,22
68,37
122,139
67,21
56,13
233,158
67,43
45,28
369,263
139,54
167,137
265,203
231,131
260,139
284,198
266,136
212,104
240,158
262,174
195,128
259,115
200,134
236,164
110,72
190,74
190,163
200,84
247,128
116,53
94,36
144,65
144,26
168,58
71,26
43,6
161,54
56,8
68,11
80,55
275,49
315,24
47,7
120,93
170,110
45,37
143,150
178,42
170,45
92,36
109,122
112,69
146,46
54,24
218,40
201,72
165,115
92,62
101,64
82,98
140,24
80,33
37,10
65,38
96,79
137,38
103,125
210,43
265,114
117,97
66,57
122,16
104,58
196,67
180,93
65,29
456,137
287,129
217,63
36,11
362,204
246,110
44,20
62,28
350,195
28,14
40,26
60,20
65,22
65,37
127,26
119,50
276,88
169,71
213,151
237,62
59,16
274,154
342,240
183,131
124,28
51,20
254,217
215,154
142,132
81,63
284,190
217,77
201,172
131,59
122,103
182,199
174,104
205,162
185,59
148,118
188,151
165,60
241,87
246,83
156,113
212,123
318,103
349,201
201,154
214,95
214,94
106,35
174,135
309,163
220,95
143,144
134,24
302,107
115,18
90,66
205,251
154,21
209,111
178,81
262,73
154,126
163,136
176,44
80,18
229,116
251,133
182,48
88,31
247,224
107,17
58,23
179,155
252,32
99,28
285,146
191,156
118,49
50,37
205,22
231,79
107,112
206,132
104,57
239,44
227,61
186,124
33,9
20,12
183,154
226,39
124,30
196,122
252,60
88,11
145,60
173,61
253,144
178,74
111,39
107,54
75,9
178,211
200,101
191,125
195,173
206,201
227,191
141,87
155,179
153,81
149,100
188,78
157,144
72,67
154,145
116,157
209,104
151,34
157,111
152,74
208,143
63,12
105,9
90,92
68,74
82,89
82,142
77,116
130,64
104,42
141,45
248,104
51,20
75,115
257,119
42,17
279,92
85,36
46,6
107,58
212,84
61,18
276,122
239,102
33,5
53,26
111,67
260,207
222,88
42,16
117,38
50,16
82,64
116,73
344,177
74,42
109,48
203,65
65,43
158,95
62,41
62,36
178,115
69,36
148,77
104,63
61,32
77,50
212,91
211,110
104,113
129,80
78,80
146,39
65,10
88,80
26,3
104,54
105,26
133,22
112,37
177,63
52,4
131,35
125,139
108,157
73,16
114,100
196,198
267,183
164,69
197,138
202,84
219,246
163,83
235,128
195,81
218,140
181,100
158,169
227,105
87,10
224,112
169,52
195,151
194,109
183,50
35,3
222,107
32,3
119,34
188,112
226,153
165,85
246,124
155,61
110,42
286,74
141,37
161,137
168,57
234,197
260,165
173,91
204,60
214,179
142,93
220,138
208,88
311,142
293,204
209,117
196,93
156,40
163,119
165,28
180,121
182,174
326,230
322,254
245,146
65,46
200,152
183,117
161,151
128,114
182,117
142,173
80,89
179,83
92,61
221,123
45,36
273,141
95,56
206,77
154,141
169,150
61,48
173,139
61,47
211,162
258,90
129,113
85,96
93,36
132,99
59,43
214,166
32,20
180,109
145,108
36,51
193,57
125,40
134,76
68,33
256,44
166,143
129,133
169,72
136,151
251,113
80,39
78,36
117,106
171,132
202,96
81,62
55,52
106,106
72,73
44,12
53,48
103,244
252,156
186,73
128,95
175,63
220,237
156,86
232,148
147,45
172,138
144,24
174,132
135,89
211,161
103,51
151,170
123,137
140,50
122,87
151,56
86,91
110,35
123,72
176,178
66,40
69,4
212,182
155,152
190,152
205,139
150,87
108,84
159,125
182,142
206,178
65,24
268,239
194,131
249,208
150,81
73,96
80,55
65,32
133,115
190,137
105,87
273,201
134,129
141,134
194,172
238,148
149,122
263,230
168,121
195,95
247,68
200,114
200,114
279,80
250,131
147,58
70,34
196,110
144,160
243,69
246,108
201,116
224,74
125,90
166,56
289,131
264,54
177,173
234,85
115,49
190,131
304,107
260,119
116,120
245,153
321,150
213,144
282,202
237,152
242,166
204,92
189,129
267,135
247,112
252,138
247,69
274,84
164,59
264,173
174,130
143,61
176,152
391,295
201,122
126,175
312,149
157,141
150,87
341,173
210,119
341,173
139,104
150,104
227,193
158,107
205,236
185,232
253,118
181,205
141,140
192,169
67,19
151,143
148,173
154,118
211,148
347,152
238,220
173,159
282,141
137,47
128,84
70,40
181,102
158,28
185,118
83,94
255,213
138,113
122,54
209,101
53,26
216,150
234,124
31,19
127,85
64,18
39,27
30,9
191,159
68,59
115,55
56,15
200,158
300,262
146,148
170,56
182,82
130,51
91,39
179,91
69,13
113,74
199,172
32,19
210,139
127,110
52,17
194,173
155,141
184,115
95,113
269,166
230,54
189,112
33,6
96,65
166,101
214,146
67,36
173,186
152,72
66,23
180,177
246,29
75,34
65,17
190,125
77,60
159,72
101,82
215,185
41,10
172,190
206,249
98,27
101,29
72,5
169,59
174,81
211,101
53,12
32,16
152,161
170,89
79,29
41,36
119,93
219,150
38,16
44,19
173,99
35,11
138,68
61,30
68,77
29,18
39,22
281,150
135,138
154,121
56,14
75,35
48,12
183,155
35,7
40,31
75,36
55,5
120,109
59,5
47,15
62,44
26,8
110,131
76,13
90,95
98,103
35,23
56,44
78,31
52,13
97,88
90,49
193,73
201,73
57,40
175,136
91,21
241,68
234,69
169,93
254,94
187,88
132,103
68,23
116,71
144,79
214,152
99,78
149,59
213,69
141,41
148,60
61,33
228,115
209,145
170,65
37,14
