Year_Month,Topic,Words
200602,0,"0.018*""also"" + 0.016*""return"" + 0.011*""recent"" + 0.007*""potential"" + 0.006*""group"" + 0.006*""sector"" + 0.006*""firm"" + 0.006*""growth"" + 0.005*""public"" + 0.004*""exposure"""
200602,1,"0.018*""year"" + 0.010*""african"" + 0.009*""important"" + 0.009*""mortgage"" + 0.006*""gap"" + 0.006*""continue"" + 0.005*""greater"" + 0.005*""line"" + 0.005*""issue"" + 0.005*""view"""
200602,2,"0.029*""risk"" + 0.013*""institution"" + 0.011*""work"" + 0.011*""banking"" + 0.007*""state"" + 0.007*""net"" + 0.005*""member"" + 0.005*""benefit"" + 0.004*""support"" + 0.004*""credit"""
200602,3,"0.014*""policy"" + 0.012*""text"" + 0.007*""income"" + 0.005*""degree"" + 0.005*""opportunity"" + 0.004*""central"" + 0.004*""achievement"" + 0.004*""ongoing"" + 0.004*""dropout"" + 0.004*""show"""
200602,4,"0.021*""financial"" + 0.009*""interest"" + 0.008*""challenge"" + 0.007*""economist"" + 0.006*""reinsurance"" + 0.006*""expectation"" + 0.006*""associated"" + 0.006*""including"" + 0.006*""much"" + 0.005*""cost"""
200602,5,"0.018*""economic"" + 0.012*""organization"" + 0.009*""time"" + 0.009*""bank"" + 0.008*""development"" + 0.007*""lower"" + 0.006*""significant"" + 0.006*""riskmanagement"" + 0.005*""result"" + 0.005*""increase"""
200602,6,"0.011*""would"" + 0.010*""industry"" + 0.009*""economy"" + 0.009*""must"" + 0.007*""system"" + 0.006*""make"" + 0.005*""investment"" + 0.005*""united"" + 0.005*""regulation"" + 0.004*""progress"""
200602,7,"0.013*""school"" + 0.012*""student"" + 0.012*""insurance"" + 0.007*""completion"" + 0.007*""information"" + 0.006*""worth"" + 0.006*""real"" + 0.006*""educational"" + 0.005*""need"" + 0.005*""likely"""
200602,8,"0.027*""inflation"" + 0.022*""education"" + 0.017*""college"" + 0.008*""median"" + 0.008*""household"" + 0.007*""low"" + 0.007*""national"" + 0.006*""loan"" + 0.006*""survey"" + 0.005*""fsf"""
200602,9,"0.015*""american"" + 0.010*""high"" + 0.010*""today"" + 0.009*""regulatory"" + 0.007*""among"" + 0.005*""activity"" + 0.005*""like"" + 0.004*""authority"" + 0.004*""service"" + 0.004*""although"""
200602,10,"0.025*""rate"" + 0.022*""black"" + 0.013*""federal"" + 0.012*""family"" + 0.011*""u"" + 0.011*""one"" + 0.010*""may"" + 0.007*""international"" + 0.006*""role"" + 0.006*""difference"""
200602,11,"0.016*""stability"" + 0.013*""business"" + 0.010*""new"" + 0.009*""many"" + 0.007*""management"" + 0.006*""example"" + 0.006*""well"" + 0.006*""stable"" + 0.005*""rise"" + 0.005*""part"""
200602,12,"0.014*""reserve"" + 0.007*""regulator"" + 0.007*""cre"" + 0.006*""wealth"" + 0.006*""level"" + 0.006*""even"" + 0.004*""increased"" + 0.004*""area"" + 0.004*""skill"" + 0.003*""given"""
200602,13,"0.017*""percent"" + 0.012*""market"" + 0.011*""product"" + 0.006*""change"" + 0.006*""unemployment"" + 0.005*""good"" + 0.004*""le"" + 0.004*""guidance"" + 0.004*""research"" + 0.004*""strong"""
200602,14,"0.016*""price"" + 0.013*""white"" + 0.010*""value"" + 0.007*""asset"" + 0.006*""nonhispanic"" + 0.006*""higher"" + 0.006*""however"" + 0.006*""employment"" + 0.005*""ensure"" + 0.005*""global"""
