Year_Month,Topic,Words
00202.,0,"0.068*""percent"" + 0.053*""toward"" + 0.053*""condition"" + 0.053*""currently"" + 0.045*""expansion"" + 0.022*""immediate"" + 0.007*""rate"" + 0.007*""charged"" + 0.007*""weighted"" + 0.007*""committee"""
00202.,1,"0.179*""rate"" + 0.113*""board"" + 0.047*""san"" + 0.041*""pressure"" + 0.035*""undermine"" + 0.029*""voted"" + 0.005*""louis"" + 0.005*""background"" + 0.005*""city"" + 0.005*""news"""
00202.,2,"0.058*""boston"" + 0.058*""st"" + 0.058*""submitted"" + 0.051*""future"" + 0.051*""longrun"" + 0.043*""would"" + 0.007*""request"" + 0.007*""philadelphia"" + 0.007*""cleveland"" + 0.007*""federal"""
00202.,3,"0.124*""discount"" + 0.052*""richmond"" + 0.052*""credit"" + 0.052*""request"" + 0.039*""remains"" + 0.039*""pronounced"" + 0.032*""raise"" + 0.012*""banksin"" + 0.006*""kansa"" + 0.006*""longrun"""
00202.,4,"0.060*""francisco"" + 0.060*""director"" + 0.060*""atlanta"" + 0.052*""goal"" + 0.052*""background"" + 0.014*""banksagainst"" + 0.007*""institution"" + 0.007*""economic"" + 0.007*""action"" + 0.007*""federal"""
00202.,5,"0.109*""committee"" + 0.054*""new"" + 0.054*""cleveland"" + 0.041*""potential"" + 0.041*""trend"" + 0.034*""february"" + 0.034*""home"" + 0.006*""generate"" + 0.006*""exceed"" + 0.006*""increase"""
00202.,6,"0.165*""federal"" + 0.066*""approved"" + 0.049*""point"" + 0.044*""kansa"" + 0.033*""time"" + 0.033*""record"" + 0.033*""could"" + 0.027*""governor"" + 0.027*""fund"" + 0.027*""accessibility"""
00202.,7,"0.103*""growth"" + 0.072*""action"" + 0.072*""bank"" + 0.042*""foreseeable"" + 0.042*""may"" + 0.042*""heightened"" + 0.036*""foster"" + 0.036*""economy"" + 0.006*""reserve"" + 0.006*""credit"""
00202.,8,"0.087*""taking"" + 0.053*""borrow"" + 0.047*""available"" + 0.047*""stability"" + 0.047*""risk"" + 0.040*""inflationary"" + 0.033*""market"" + 0.033*""event"" + 0.006*""district"" + 0.006*""goal"""
00202.,9,"0.057*""depository"" + 0.057*""chicago"" + 0.057*""philadelphia"" + 0.050*""weighted"" + 0.043*""supply"" + 0.035*""monetary"" + 0.035*""news"" + 0.007*""inflationary"" + 0.007*""taking"" + 0.007*""louis"""
