File,Word Count,Positive,Negative,sentiment_score_economic,Year,Month
20000202,793,50,22,11.449999999999989,2000,02
20000321,792,55,22,13.699999999999989,2000,03
20000516,742,55,37,6.700000000000001,2000,05
20000628,615,58,25,19.44999999999998,2000,06
20000822,605,58,25,18.849999999999984,2000,08
20001003,675,58,37,19.149999999999984,2000,10
20001115,621,48,28,11.049999999999986,2000,11
20001219,522,32,47,-6.149999999999997,2000,12
20010103,952,53,41,10.249999999999995,2001,01
20010131,1001,70,46,16.44999999999999,2001,01
20010320,908,62,58,8.749999999999995,2001,03
20010418,1106,69,71,4.750000000000004,2001,04
20010515,999,62,60,9.899999999999999,2001,05
20010627,824,54,35,10.899999999999999,2001,06
20010821,788,43,35,3.6499999999999995,2001,08
20010917,750,33,43,-1.8499999999999979,2001,09
20011002,713,41,41,3.0999999999999996,2001,10
20011106,669,57,47,9.5,2001,11
20011211,774,58,52,9.700000000000001,2001,12
20020507,770,97,18,37.90000000000001,2002,05
20020626,820,82,18,29.400000000000002,2002,06
20020813,872,47,32,4.5,2002,08
20020924,1083,83,34,17.999999999999993,2002,09
20021106,1099,82,33,28.050000000000004,2002,11
20021210,754,60,23,20.599999999999994,2002,12
20030129,743,75,21,25.75,2003,01
20030318,956,80,39,28.2,2003,03
20030506,922,65,58,4.699999999999999,2003,05
20030625,1312,73,45,21.800000000000008,2003,06
20030812,749,45,39,4.899999999999998,2003,08
20030916,889,54,47,5.849999999999997,2003,09
20031028,889,54,47,5.849999999999997,2003,10
20031209,853,54,35,9.149999999999995,2003,12
20040128,852,64,40,13.299999999999999,2004,01
20040316,847,69,40,10.799999999999999,2004,03
20040504,844,63,30,16.4,2004,05
20040630,1259,69,18,23.40000000000001,2004,06
20040810,1332,69,23,25.90000000000001,2004,08
20040921,1266,49,23,14.900000000000002,2004,09
20041110,736,32,20,9.199999999999998,2004,11
20041214,1523,73,28,23.05000000000002,2004,12
20050202,1243,54,35,14.000000000000007,2005,02
20050322,844,40,28,10.200000000000001,2005,03
20050503,824,40,24,10.600000000000001,2005,05
20050630,784,44,24,13.800000000000004,2005,06
20050809,816,40,32,9.200000000000001,2005,08
20060131,163,8,4,2.7,2006,01
20060328,187,8,4,2.25,2006,03
20060510,215,14,3,4.25,2006,05
20060629,192,14,4,3.500000000000001,2006,06
20060808,146,11,4,2.3,2006,08
20060920,139,10,4,1.7999999999999998,2006,09
20061025,144,11,4,2.15,2006,10
20061212,150,11,4,2.15,2006,12
20070131,123,8,5,1.0,2007,01
20070321,115,10,5,0.5999999999999998,2007,03
20070509,116,10,5,0.5999999999999998,2007,05
20070618,122,10,6,0.4999999999999999,2007,06
20070807,142,10,8,-0.6500000000000001,2007,08
20070810,70,6,1,2.7,2007,08
20070817,88,4,6,-1.525,2007,08
20070918,176,8,7,-0.3500000000000001,2007,09
20071031,202,13,12,0.8249999999999998,2007,10
20071211,195,10,9,0.17499999999999982,2007,12
20080122,166,5,11,-2.6750000000000003,2008,01
20080130,170,8,9,-1.2499999999999998,2008,01
20080311,282,15,4,4.65,2008,03
20080318,196,12,11,-0.4,2008,03
20080430,206,11,10,-0.20000000000000034,2008,04
20080625,167,11,7,0.7499999999999998,2008,06
20080805,165,10,8,0.5499999999999996,2008,08
20080916,150,7,9,-1.625,2008,09
20081008,299,11,16,-3.575,2008,10
20081029,204,10,10,0.2500000000000001,2008,10
20081216,273,14,7,4.3500000000000005,2008,12
20090128,309,27,11,8.7,2009,01
20090318,279,18,9,4.775,2009,03
20090429,280,18,10,4.749999999999999,2009,04
20090624,247,20,10,5.249999999999999,2009,06
20090812,269,22,10,6.199999999999998,2009,08
20090923,277,25,12,7.499999999999999,2009,09
20091104,306,31,12,11.250000000000002,2009,11
20091216,380,31,12,10.9,2009,12
20100127,362,25,12,8.900000000000002,2010,01
20100316,295,24,14,7.800000000000001,2010,03
20100428,272,24,14,8.150000000000002,2010,04
20100509,203,7,3,2.4000000000000004,2010,05
20100623,245,22,15,6.8500000000000005,2010,06
20100810,301,26,14,8.850000000000005,2010,08
20100921,277,27,14,9.700000000000001,2010,09
20101103,324,31,17,8.45,2010,11
20101214,318,30,17,7.500000000000001,2010,12
20110126,379,36,14,11.750000000000002,2011,01
20110315,388,39,10,14.100000000000001,2011,03
20110427,387,39,8,14.600000000000001,2011,04
20110622,385,35,12,9.75,2011,06
20110809,421,32,15,7.6499999999999995,2011,08
20110921,474,47,17,14.375,2011,09
20111102,406,32,12,8.875,2011,11
20111213,375,33,9,10.624999999999998,2011,12
20120125,367,30,12,10.174999999999999,2012,01
20120313,375,29,11,9.724999999999998,2012,03
20120425,380,31,11,10.424999999999999,2012,04
20120620,417,42,15,15.075000000000001,2012,06
20120801,391,34,14,11.475,2012,08
20120913,462,40,12,15.775000000000002,2012,09
20121024,457,39,10,15.475000000000003,2012,10
20121212,551,45,17,16.925000000000004,2012,12
20130130,527,39,21,11.225000000000001,2013,01
20130320,528,37,21,10.55,2013,03
20130501,539,37,19,11.15,2013,05
20130619,551,43,18,14.1,2013,06
20130731,556,42,19,13.05,2013,07
20130918,614,49,23,15.350000000000001,2013,09
20131030,604,48,22,14.750000000000002,2013,10
20131218,667,53,25,15.850000000000001,2013,12
20140129,647,52,23,16.3,2014,01
20140319,678,54,21,19.099999999999998,2014,03
20140430,635,51,19,18.399999999999995,2014,04
20140618,632,51,19,18.949999999999992,2014,06
20140730,654,53,19,19.099999999999994,2014,07
20140917,688,55,20,20.399999999999995,2014,09
20140917,197,11,1,3.9000000000000004,2014,09
20141029,583,42,17,14.949999999999998,2014,10
20141217,582,45,22,14.2,2014,12
20150128,485,36,17,10.4,2015,01
20150318,489,32,17,9.249999999999998,2015,03
20150429,487,34,14,10.599999999999998,2015,04
20150617,470,31,13,10.35,2015,06
20150729,468,32,13,10.999999999999998,2015,07
20150917,494,32,17,9.799999999999999,2015,09
20151028,485,32,14,10.549999999999999,2015,10
20151216,485,32,13,8.95,2015,12
20160127,471,27,15,5.850000000000001,2016,01
20160127,275,22,6,8.0,2016,01
20160316,482,28,13,8.2,2016,03
20160427,486,30,11,9.25,2016,04
20160615,457,27,13,6.9,2016,06
20160727,477,29,13,8.15,2016,07
20160921,494,31,14,9.0,2016,09
20161102,490,31,13,9.749999999999996,2016,11
20161214,460,28,13,7.949999999999999,2016,12
20170201,439,29,11,9.149999999999999,2017,02
20170315,455,30,8,10.949999999999998,2017,03
20170503,454,30,9,10.249999999999998,2017,05
20170614,467,29,7,10.249999999999996,2017,06
20170614,418,19,3,5.35,2017,06
20170726,440,27,7,9.449999999999998,2017,07
20170920,457,29,16,5.75,2017,09
20171101,445,27,18,4.200000000000001,2017,11
20171213,426,29,10,8.15,2017,12
20180131,387,27,6,9.149999999999997,2018,01
20180131,182,14,5,4.199999999999999,2018,01
20180321,404,27,6,9.349999999999996,2018,03
20180502,390,27,6,9.449999999999998,2018,05
20180613,324,25,5,9.4,2018,06
20180801,319,25,5,9.5,2018,08
20180926,306,22,5,7.8999999999999995,2018,09
20181108,312,23,5,8.35,2018,11
20181219,329,23,5,8.35,2018,12
20190130,245,20,6,7.2,2019,01
20190130,94,9,6,2.6499999999999995,2019,01
20190130,141,9,1,3.2,2019,01
20190320,256,18,6,5.750000000000001,2019,03
20190320,366,30,14,9.400000000000002,2019,03
20190501,239,18,5,6.000000000000001,2019,05
20190619,257,20,9,6.2,2019,06
20190731,287,20,8,6.1,2019,07
20190918,280,21,8,6.8,2019,09
20191011,476,48,13,15.749999999999996,2019,10
20191030,256,16,8,4.3,2019,10
20191211,238,15,6,4.300000000000001,2019,12
20200129,237,14,6,3.750000000000001,2020,01
20200303,113,5,3,1.35,2020,03
20200315,471,37,10,12.6,2020,03
20200319,159,4,2,1.2,2020,03
20200323,428,41,4,15.924999999999999,2020,03
20200331,185,16,1,7.800000000000001,2020,03
20200429,294,21,13,2.75,2020,04
20200610,296,22,12,3.5999999999999996,2020,06
20200729,306,21,11,3.95,2020,07
20200827,387,45,12,16.1,2020,08
20200916,363,29,12,9.15,2020,09
20201105,318,25,12,6.449999999999998,2020,11
20201216,328,25,12,7.449999999999998,2020,12
20210127,336,27,15,6.199999999999999,2021,01
20210127,80,9,3,3.3,2021,01
20210317,334,26,14,6.799999999999998,2021,03
20210428,333,29,14,8.499999999999995,2021,04
20210616,327,29,12,9.599999999999998,2021,06
20210728,333,31,11,11.949999999999996,2021,07
20210922,345,32,11,12.499999999999998,2021,09
20211103,408,32,13,11.249999999999998,2021,11
20211215,344,27,13,7.249999999999999,2021,12
20220126,288,22,14,3.4000000000000004,2022,01
20220126,76,8,3,3.3499999999999996,2022,01
